Negara;2018;2019;2020;2021;2022;Grand Total
Australia;1123788;1386803;256291;3196;286997;3057075
Singapore;1545122;1934445;280492;18704;216570;3995333
Malaysia;2090277;2980753;980118;480723;195489;6727360
India;507893;657300;111724;6670;111230;1394817
Indonesia;594674;664645;151163;9952;99253;1519687
Timor Leste;1485145;1178381;994590;819488;89173;4566777
United States of America;334234;457832;91782;21962;80779;986589
United Kingdom;344715;397624;69997;5177;78923;896436
France;261771;283814;43438;3776;73791;666590
Germany;247296;277653;46361;3429;62507;637246
China;1822716;2072079;239768;54713;60897;4250173
Netherlands;185280;215287;53495;12229;49190;515481
South Korea;296071;388316;75562;9497;46781;816227
Japan;456067;519623;92228;5952;31543;1105413
Vietnam;67001;96024;19608;2008;29619;214260
I t a l y;84943;91229;13260;2339;28484;220255
Spain;78622;83373;11829;3255;23185;200264
Philippines;191529;260980;50413;9375;22896;535193
Saudi Arabia;141258;157512;31906;2053;20936;353665
R u s i a;99216;158943;67491;8392;19957;353999
New Zealand;116957;149010;19947;482;19597;305993
Thailand;109517;136699;21303;3992;16289;287800
Canada;80586;103616;23200;1242;14293;222937
South America;52052;65630;15142;1450;12321;146595
Switzerland;54428;57484;8362;782;11842;132898
Belgium;46145;46780;5902;798;11599;111224
Denmark;39580;45090;10533;557;10832;106592
Taiwan;174355;207490;35680;1398;7999;426922
Polandia;27977;41637;9055;752;7962;87383
Brazilia;22752;30232;5945;952;7299;67180
Irlandia (Ireland);25453;28602;5167;291;7226;66739
Turki;17717;23883;6038;1122;6936;55696
Austria;26547;28476;4858;2103;6103;68087
Portugal;32077;35434;6245;476;5864;80096
Sweden;39927;56402;17600;3516;5415;122860
Myanmar/Burma;25154;46381;12669;3093;5191;92488
South Africa;37399;47657;7350;572;5084;98062
Norway;21209;23886;5072;336;4636;55139
Ukraine;20226;35537;16491;3044;4451;79749
Romania;12166;18650;4320;510;3846;39492
Papua New Guinea;111463;78433;20975;31703;3109;245683
Ceko;19630;23941;6178;496;2880;53125
Hongaria;11000;14218;3664;218;2711;31811
Egypt;15832;21354;4337;611;2663;44797
Bangladesh;46553;59777;12866;1001;2548;122745
Pakistan;11746;14663;4110;974;2208;33701
Uni Emirat Arab;6282;9065;1093;384;2051;18875
Yunani (Greece);6763;9705;2047;385;1951;20851
Kamboja;7916;13843;2227;228;1920;26134
Mexiko;10923;13663;2375;135;1900;28996
Yaman;8696;9221;2094;758;1717;22486
Finland;19503;22665;6376;240;1713;50497
Maroko;7167;11371;1707;182;1706;22133
Tunisia;3551;4335;645;75;1592;10198
Argentina;8679;9994;3066;114;1576;23429
Lithuania;6736;9180;3038;204;1454;20612
Kolombia;4751;6304;1324;96;1444;13919
Oman;21420;24051;3612;89;1439;50611
Kuwait;4682;5762;846;75;1375;12740
Srilanka;28203;28907;4300;620;1350;63380
Iran;10151;10440;1354;300;1340;23585
Brunei Darussalam;15004;19278;2701;144;1338;38465
Slovakia;7720;9359;2203;152;1333;20767
Belarus;3875;6644;3092;617;1273;15501
Jordan;5450;6571;1027;167;1132;14347
